FIRST_ID,SECOND_ID,SIMILARITY
24,8,"0,0313"
2,40,"0,0313"
40,2,"0,0313"
22,25,"0,0312"
25,22,"0,0312"
9,28,"0,0312"
28,9,"0,0312"
31,46,"0,0311"
46,31,"0,0311"
12,33,"0,0311"
33,12,"0,0311"
21,49,"0,0310"
49,21,"0,0310"
14,36,"0,0310"
36,14,"0,0310"
4,19,"0,0309"
19,4,"0,0309"
6,40,"0,0308"
40,6,"0,0308"
35,37,"0,0308"
37,35,"0,0308"
25,44,"0,0307"
44,25,"0,0307"
29,32,"0,0306"
32,29,"0,0306"
2,16,"0,0306"
16,2,"0,0306"
43,48,"0,0305"
48,43,"0,0305"
14,45,"0,0305"
45,14,"0,0305"
19,28,"0,0304"
28,19,"0,0304"
9,37,"0,0304"
37,9,"0,0304"
20,24,"0,0303"
24,20,"0,0303"
12,26,"0,0303"
26,12,"0,0303"
14,41,"0,0301"
41,14,"0,0301"
1,15,"0,0299"
15,1,"0,0299"
24,46,"0,0299"
46,24,"0,0299"
9,14,"0,0297"
14,9,"0,0297"
40,49,"0,0297"
49,40,"0,0297"
42,48,"0,0292"
48,42,"0,0292"
31,35,"0,0292"
35,31,"0,0292"
1,17,"0,0291"
17,1,"0,0291"
16,49,"0,0291"
49,16,"0,0291"
9,15,"0,0290"
15,9,"0,0290"
1,20,"0,0289"
20,1,"0,0289"
32,40,"0,0289"
40,32,"0,0289"
9,47,"0,0288"
47,9,"0,0288"
18,49,"0,0288"
49,18,"0,0288"
28,40,"0,0287"
40,28,"0,0287"
33,48,"0,0287"
48,33,"0,0287"
14,43,"0,0286"
43,14,"0,0286"
14,42,"0,0284"
42,14,"0,0284"
37,48,"0,0284"
48,37,"0,0284"
16,22,"0,0284"
22,16,"0,0284"
16,32,"0,0283"
32,16,"0,0283"
38,46,"0,0282"
46,38,"0,0282"
14,25,"0,0282"
25,14,"0,0282"
16,37,"0,0280"
37,16,"0,0280"
6,35,"0,0278"
35,6,"0,0278"
6,34,"0,0277"
34,6,"0,0277"
19,47,"0,0276"
47,19,"0,0276"
9,20,"0,0276"
20,9,"0,0276"
1,35,"0,0273"
35,1,"0,0273"
34,37,"0,0272"
37,34,"0,0272"
8,31,"0,0271"
31,8,"0,0271"
1,5,"0,0271"
5,1,"0,0271"
20,35,"0,0270"
35,20,"0,0270"
36,45,"0,0270"
45,36,"0,0270"
9,32,"0,0269"
32,9,"0,0269"
12,20,"0,0269"
20,12,"0,0269"
8,25,"0,0267"
25,8,"0,0267"
40,44,"0,0267"
44,40,"0,0267"
20,38,"0,0265"
38,20,"0,0265"
14,40,"0,0264"
40,14,"0,0264"
20,26,"0,0263"
26,20,"0,0263"
11,40,"0,0262"
40,11,"0,0262"
21,48,"0,0262"
48,21,"0,0262"
7,20,"0,0259"
20,7,"0,0259"
14,34,"0,0259"
34,14,"0,0259"
32,43,"0,0258"
43,32,"0,0258"
17,43,"0,0257"
43,17,"0,0257"
40,46,"0,0257"
46,40,"0,0257"
5,17,"0,0256"
17,5,"0,0256"
29,34,"0,0255"
34,29,"0,0255"
15,30,"0,0254"
30,15,"0,0254"
26,33,"0,0253"
33,26,"0,0253"
26,29,"0,0253"
29,26,"0,0253"
11,48,"0,0252"
48,11,"0,0252"
18,39,"0,0252"
39,18,"0,0252"
17,32,"0,0250"
32,17,"0,0250"
1,26,"0,0249"
26,1,"0,0249"
18,46,"0,0249"
46,18,"0,0249"
39,42,"0,0248"
42,39,"0,0248"
2,14,"0,0247"
14,2,"0,0247"
7,36,"0,0246"
36,7,"0,0246"
20,42,"0,0246"
42,20,"0,0246"
40,45,"0,0245"
45,40,"0,0245"
1,47,"0,0245"
47,1,"0,0245"
26,45,"0,0243"
45,26,"0,0243"
2,18,"0,0242"
18,2,"0,0242"
13,37,"0,0242"
37,13,"0,0242"
15,18,"0,0241"
18,15,"0,0241"
2,15,"0,0241"
15,2,"0,0241"
28,41,"0,0240"
41,28,"0,0240"
11,12,"0,0239"
12,11,"0,0239"
7,40,"0,0239"
40,7,"0,0239"
12,27,"0,0238"
27,12,"0,0238"
6,18,"0,0238"
18,6,"0,0238"
33,49,"0,0235"
49,33,"0,0235"
9,25,"0,0233"
25,9,"0,0233"
7,28,"0,0233"
28,7,"0,0233"
37,49,"0,0231"
49,37,"0,0231"
13,15,"0,0230"
15,13,"0,0230"
11,43,"0,0229"
43,11,"0,0229"
7,11,"0,0229"
11,7,"0,0229"
7,26,"0,0229"
26,7,"0,0229"
4,28,"0,0228"
